Work experience,Education,Company size,Amount,Designation,Currency,Status,Year
1_to_3,higher_diploma,20_to_50,190000,senior_software_engineer,LKR,approved,2022
7_to_9,masters,below_10,517400,senior_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,10_to_20,235000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,50_to_100,150400,software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,150000,associate_software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,80000,associate_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,120000,network_engineer,LKR,approved,2022
4_to_6,bachelors_degree,10_to_20,850000,senior_devops_engineer,LKR,approved,2022
10_to_14,higher_diploma,50_to_100,176550,manager_it_operation,LKR,approved,2022
10_to_14,masters,more_than_500,376000,project_manager,LKR,approved,2022
10_to_14,masters,more_than_500,376000,associate_project_manager,LKR,approved,2022
1_to_3,bachelors_degree,20_to_50,40000,associate_software_engineer,LKR,approved,2022
4_to_6,masters,50_to_100,140000,devops_engineer,LKR,approved,2022
0_to_1,bachelors_degree,20_to_50,125000,associate_security_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,200000,senior_software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,50_to_100,150000,associate_security_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,350000,senior_software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,256000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,300000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,110000,ui_ux_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,320000,software_engineer,LKR,approved,2022
15+,masters,more_than_500,1280000,senior_data_architect,LKR,approved,2022
7_to_9,masters,50_to_100,300000,technical_lead,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,150000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,50_to_100,110000,senior_software_engineer,LKR,approved,2022
15+,masters,100_to_500,750000,architecture,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,275000,product_manager,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,192000,system_engineer,LKR,approved,2022
4_to_6,diploma,50_to_100,265000,senior_ui_ux_engineer,LKR,approved,2022
7_to_9,bachelors_degree,100_to_500,800000,project_manager,LKR,approved,2022
4_to_6,bachelors_degree,10_to_20,400000,senior_software_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,512000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,235000,senior_software_engineer,LKR,approved,2022
7_to_9,bachelors_degree,100_to_500,320000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,275000,senior_software_engineer,LKR,approved,2022
7_to_9,masters,more_than_500,450000,senior_lead_ui_ux_engineer,LKR,approved,2022
10_to_14,bachelors_degree,more_than_500,450000,senior_qa_lead,LKR,approved,2022
10_to_14,bachelors_degree,more_than_500,630000,senior_architect,LKR,approved,2022
1_to_3,bachelors_degree,10_to_20,80000,junior_data_scientist,LKR,approved,2022
15+,higher_diploma,more_than_500,329500,senior_reliability_engineer,LKR,approved,2022
10_to_14,masters,100_to_500,352000,technical_lead,LKR,approved,2022
7_to_9,masters,20_to_50,832000,senior_technical_lead,LKR,approved,2022
10_to_14,bachelors_degree,20_to_50,3980000,senior_technical_lead,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,411200,senior_qa_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,130000,software_engineer,LKR,approved,2022
7_to_9,masters,more_than_500,180000,senior_business_analyst,LKR,approved,2022
15+,bachelors_degree,more_than_500,650000,principle_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,210000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,50_to_100,640000,associate_technical_lead,LKR,approved,2022
7_to_9,bachelors_degree,100_to_500,320000,senior_business_analyst,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,285000,senior_qa_engineer,LKR,approved,2022
4_to_6,masters,more_than_500,477000,project_manager,LKR,approved,2022
10_to_14,bachelors_degree,50_to_100,555000,senior_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,612160,senior_qa_engineer,LKR,approved,2022
4_to_6,bachelors_degree,10_to_20,383900,senior_software_engineer,LKR,approved,2022
10_to_14,bachelors_degree,50_to_100,300000,associate_qa_architect,LKR,approved,2022
7_to_9,bachelors_degree,more_than_500,497000,associate_project_manager,LKR,approved,2022
4_to_6,bachelors_degree,50_to_100,180000,software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,290000,senior_software_engineer,LKR,approved,2022
10_to_14,bachelors_degree,100_to_500,1047000,architecture,LKR,approved,2022
7_to_9,bachelors_degree,100_to_500,928000,associate_technical_lead,LKR,approved,2022
1_to_3,bachelors_degree,20_to_50,121000,associate_software_engineer,LKR,approved,2022
